"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.563281250E4,1.401391538E-3
1.565625000E4,9.030728667E-4
1.567968750E4,1.193929089E-3
1.570312500E4,1.106663353E-3
1.572656250E4,1.104731831E-3
1.575000000E4,6.909804048E-4
1.577343750E4,1.095776129E-3
1.579687500E4,1.372172990E-3
1.582031250E4,9.122420826E-4
1.584375000E4,7.713593082E-4
1.586718750E4,1.234381611E-3
1.589062500E4,1.200706798E-3
1.591406250E4,1.438181733E-3
1.593750000E4,1.529947319E-3
1.596093750E4,9.896873918E-4
1.598437500E4,1.466115494E-3
1.600781250E4,1.069161368E-3
1.603125000E4,1.328212497E-3
1.605468750E4,1.011314743E-3
1.607812500E4,7.220894500E-4
1.610156250E4,1.116453780E-3
1.612500000E4,1.410821309E-3
1.614843750E4,1.199861641E-3
1.617187500E4,1.318898461E-3
1.619531250E4,9.519035169E-4
1.621875000E4,7.428194311E-4
1.624218750E4,9.611170289E-4
1.626562500E4,1.096872308E-3
1.628906250E4,9.143173656E-4
1.631250000E4,8.934833559E-4
1.633593750E4,9.657718695E-4
1.635937500E4,1.009081130E-3
1.638281250E4,6.904477774E-4
1.640625000E4,1.182881992E-3
1.642968750E4,9.894064315E-4
1.645312500E4,7.947073915E-4
1.647656250E4,8.616948653E-4
1.650000000E4,9.151527569E-4
1.652343750E4,6.847598643E-4
1.654687500E4,9.581862480E-4
1.657031250E4,9.289456525E-4
1.659375000E4,9.121339210E-4
1.661718750E4,9.284782085E-4
1.664062500E4,7.203678483E-4
1.666406250E4,7.366402365E-4
1.668750000E4,9.116965795E-4
1.671093750E4,8.778746698E-4
1.673437500E4,6.760319941E-4
1.675781250E4,6.896041209E-4
1.678125000E4,1.447048078E-3
1.680468750E4,7.366987560E-4
1.682812500E4,8.636951750E-4
1.685156250E4,6.352751255E-4
1.687500000E4,7.854484111E-4
1.689843750E4,8.591323626E-4
1.692187500E4,7.303580097E-4
1.694531250E4,7.555284122E-4
1.696875000E4,9.423956033E-4
1.699218750E4,5.828070940E-4
1.701562500E4,6.739994506E-4
1.703906250E4,1.173879159E-3
1.706250000E4,1.329514679E-3
1.708593750E4,8.101246806E-4
1.710937500E4,8.924678042E-4
1.713281250E4,6.905285464E-4
1.715625000E4,7.722331674E-4
1.717968750E4,1.126006841E-3
1.720312500E4,1.116905516E-3
1.722656250E4,1.078853216E-3
1.725000000E4,1.173756369E-3
1.727343750E4,1.096823183E-3
1.729687500E4,1.103330854E-3
1.732031250E4,1.046433553E-3
1.734375000E4,1.387623366E-3
1.736718750E4,1.291563300E-3
1.739062500E4,1.037139212E-3
1.741406250E4,1.331843128E-3
1.743750000E4,1.735135365E-4
1.746093750E4,1.047464332E-3
1.748437500E4,6.379934021E-4
1.750781250E4,1.254061908E-3
1.753125000E4,8.730187263E-4
1.755468750E4,1.153800740E-3
1.757812500E4,1.346745344E-3
1.760156250E4,9.059918238E-4
1.762500000E4,8.803420756E-4
1.764843750E4,9.278552922E-4
1.767187500E4,9.444589373E-4
1.769531250E4,1.015740631E-3
1.771875000E4,1.375286489E-3
1.774218750E4,1.353263580E-3
1.776562500E4,8.739034820E-4
1.778906250E4,1.265171017E-3
1.781250000E4,7.388850994E-4
1.783593750E4,9.345228609E-4
1.785937500E4,7.427428684E-4
1.788281250E4,7.567139243E-4
1.790625000E4,1.215735831E-3
1.792968750E4,5.524562256E-4
1.795312500E4,1.436880868E-3
1.797656250E4,1.215182537E-3
1.800000000E4,1.426354850E-3
1.802343750E4,9.187488029E-4
1.804687500E4,6.488231315E-4
1.807031250E4,3.844154871E-4
1.809375000E4,1.012010642E-3
1.811718750E4,6.708277453E-4
1.814062500E4,9.883190157E-4
1.816406250E4,7.281388249E-4
1.818750000E4,1.190214477E-3
1.821093750E4,1.857652627E-4
1.823437500E4,1.575576178E-3
1.825781250E4,9.221397944E-4
1.828125000E4,9.065990938E-4
1.830468750E4,1.107385348E-3
1.832812500E4,1.495505016E-3
1.835156250E4,7.041529962E-4
1.837500000E4,5.918083949E-4
1.839843750E4,1.057088398E-3
1.842187500E4,3.207547139E-4
1.844531250E4,7.457271297E-4
1.846875000E4,6.409850576E-4
1.849218750E4,7.649777580E-4
1.851562500E4,7.825993365E-4
1.853906250E4,8.776352526E-4
1.856250000E4,1.026600141E-3
1.858593750E4,9.022789570E-4
1.860937500E4,7.424677183E-4
1.863281250E4,8.245009697E-4
1.865625000E4,1.068276397E-3
1.867968750E4,7.470497833E-4
1.870312500E4,5.420242760E-4
1.872656250E4,1.125659953E-3
1.875000000E4,9.189844694E-4
1.877343750E4,6.716872269E-4
1.879687500E4,7.268277342E-4
1.882031250E4,1.284061885E-3
1.884375000E4,1.100676915E-3
1.886718750E4,6.218809299E-4
1.889062500E4,4.985726125E-4
1.891406250E4,9.128284495E-4
1.893750000E4,1.099635956E-3
1.896093750E4,4.996753175E-4
1.898437500E4,8.768283136E-4
1.900781250E4,9.213064756E-4
1.903125000E4,1.212605489E-3
1.905468750E4,6.696833198E-4
1.907812500E4,7.245808309E-4
